site,temperature,pH,oxygen,conductivity,plants,land_use,margin,season,richness,abundance,shannon
LP,0.728611842,-0.554291264,1.504626668,-0.152215684,-0.733704652,urbano,soil,dry,-1.016966955,-0.909427443,-0.121923743
LS,-1.574357468,0.49241689,1.456624277,-0.3872569,-0.688191422,urbano,zacate,dry,-1.458309128,-2.16198978,-3.361091027
LS,-0.269341526,0.641946627,0.928597976,-0.559017789,-0.688191422,urbano,zacate,dry,-1.315521955,-1.466121815,-0.969187665
LS,1.342736991,1.090535836,0.448574067,-0.622298117,-0.688191422,urbano,zacate,dry,-0.341973043,-0.631080258,-0.573166725
LS,0.882143129,-0.404761528,-0.271461797,-0.323976573,-0.688191422,urbano,zacate,wet,-1.146773477,-1.605295408,-1.699696409
LS,1.649799566,0.49241689,-0.079452233,-0.794059006,-0.688191422,urbano,zacate,wet,-1.458309128,-2.16198978,-3.361091027
LS,0.498314911,2.884892672,0.59258124,-0.215496012,-0.688191422,urbano,zacate,wet,-0.614566738,-1.048601036,-0.899765667
LS,-0.192575882,0.193357418,1.312617104,-0.821179146,-0.688191422,urbano,zacate,wet,0.333020869,0.064787707,0.269363878
LS,-0.691552566,-0.703821,1.264614713,-0.947739801,-0.688191422,urbano,zacate,wet,0.423885434,0.064787707,0.214141835
LS,-0.921849497,-0.554291264,0.352569285,-0.794059006,-0.688191422,urbano,zacate,dry,-0.510721521,-0.631080258,-0.046190655
LS,0.498314911,0.641946627,1.552629058,-0.830219193,-0.688191422,urbano,zacate,dry,-0.614566738,-0.074385886,0.095808885
LAN,-1.267294893,1.389595309,0.448574067,0.344986889,-0.733704652,semiurbano,pastos,dry,-0.679469999,-0.491906665,-0.21501233
LAN,-0.192575882,-0.554291264,1.600631449,1.456912643,-0.733704652,semiurbano,pastos,dry,-1.185715433,-0.77025385,-0.099834926
LAN,0.69022902,1.090535836,1.168609931,0.760829041,-0.733704652,semiurbano,pastos,dry,-0.354953695,-0.074385886,0.472896552
LAN,-0.921849497,0.791476363,-0.175457015,0.815069321,-0.733704652,semiurbano,pastos,wet,-0.419856956,-0.213559479,0.277252742
LAN,0.459932089,-0.554291264,1.696636231,0.028585251,-0.733704652,semiurbano,pastos,wet,-0.913121738,-0.77025385,-0.361745188
LAN,-0.230958704,1.539125045,0.208562112,0.218426234,-0.733704652,semiurbano,pastos,wet,0.008504565,-0.074385886,0.24096397
LAN,-0.346107169,0.043827681,0.640583631,-0.3872569,-0.733704652,semiurbano,pastos,wet,-0.601586086,0.064787707,0.670118136
LAN,-0.230958704,-1.600999419,-0.463471361,0.498667684,-0.733704652,semiurbano,pastos,wet,-0.92610239,-0.352733072,0.364030238
LAN,-1.305677715,-0.404761528,-1.231509616,0.42634731,-0.733704652,semiurbano,pastos,dry,-0.471779565,0.064787707,0.272519424
LAN,-2.03495133,-0.404761528,-1.183507225,0.254586421,-0.733704652,semiurbano,pastos,dry,-0.757353912,-0.491906665,0.297763786
